Person,Teams,From,To,Titles,Notes
George Halas,Bears,1936,1962,Principal Owner/Head Coach/General Manager,
Ralph Brizzolara,Bears,1942,1945,Acting President/General Manager,
George Halas Jr.,Bears,1963,1973,President/General Manager,
Bobby Walston,Bears,1968,1973,Director of Player Personnel,Employed for 1974 Draft
Jim Finks,Bears,1974,1982,Executive VP/General Manager,Joined team in September 1974
Jerry Vainisi,Bears,1983,1986,General Manager,
Bill Tobin,Bears,1987,1992,Director of Player Personnel/de facto General Manager,
Rod Graves,Bears,1993,1996,"Director of Player Personnel/de facto General Manager, Director of Scouting",
Dave Wannstedt,Bears,1993,1993,Head Coach/de facto General Manager,
Mark Hatley,Bears,1997,2000,VP of Personnel/de facto General Manager,
Jerry Angelo,Bears,2001,2011,General Manager,
Phil Emery,Bears,2012,2014,General Manager,
Ryan Pace,Bears,2015,2021,General Manager,
Ryan Poles,Bears,2022,2022,General Manager,
