,Date,Opponent,Result,Location,W/L,Div,asof,url
0,09/11,Tennessee,W 21-20,Away,1-0,0-0,2022-09-22 17:54:48.030366,/nfl/team/new-york-giants/
1,09/18,Carolina,W 19-16,Home,2-0,0-0,2022-09-22 17:54:48.030366,/nfl/team/new-york-giants/
2,09/26,Dallas,8:15 pm,Home,,,2022-09-22 17:54:48.030366,/nfl/team/new-york-giants/
3,10/02,Chicago,1:00 pm,Home,,,2022-09-22 17:54:48.030366,/nfl/team/new-york-giants/
4,10/09,Green Bay,9:30 am,Neutral,,,2022-09-22 17:54:48.030366,/nfl/team/new-york-giants/
5,10/16,Baltimore,1:00 pm,Home,,,2022-09-22 17:54:48.030366,/nfl/team/new-york-giants/
6,10/23,Jacksonville,1:00 pm,Away,,,2022-09-22 17:54:48.030366,/nfl/team/new-york-giants/
7,10/30,Seattle,4:25 pm,Away,,,2022-09-22 17:54:48.030366,/nfl/team/new-york-giants/
8,11/13,Houston,1:00 pm,Home,,,2022-09-22 17:54:48.030366,/nfl/team/new-york-giants/
9,11/20,Detroit,1:00 pm,Home,,,2022-09-22 17:54:48.030366,/nfl/team/new-york-giants/
10,11/24,Dallas,4:30 pm,Away,,,2022-09-22 17:54:48.030366,/nfl/team/new-york-giants/
11,12/04,Washington,1:00 pm,Home,,,2022-09-22 17:54:48.030366,/nfl/team/new-york-giants/
12,12/11,Philadelphia,1:00 pm,Home,,,2022-09-22 17:54:48.030366,/nfl/team/new-york-giants/
13,12/18,Washington,12:00 pm,Away,,,2022-09-22 17:54:48.030366,/nfl/team/new-york-giants/
14,12/24,Minnesota,1:00 pm,Away,,,2022-09-22 17:54:48.030366,/nfl/team/new-york-giants/
15,01/01,Indianapolis,1:00 pm,Home,,,2022-09-22 17:54:48.030366,/nfl/team/new-york-giants/
16,01/08,Philadelphia,12:00 pm,Away,,,2022-09-22 17:54:48.030366,/nfl/team/new-york-giants/
